Napa Cabbage With Pressed Bean Curd (Liángbàn Dòugān Báicàixīn),Appetizers / Starters;Chinese;Vegan;Vegetarian,Napa Cabbage;Pressed Bean Curd;Toasted Sesame Seeds;Toasted Sesame Oil;Rice Vinegar;Jalapeño Chiles;Cilantro;Green Onions
Soybean Pods (Shāo Máodòu),Appetizers / Starters;Chinese;Vegan;Vegetarian,Frozen Soybeans;Sichuan Peppercorns;Five-Spice Powder
Spinach And Peanuts (Bōcài Huāshēng),Appetizers / Starters;Chinese;Vegan;Vegetarian,Spinach;Garlic;Sea Salt;Chinese Black Vinegar;Dark Brown Sugar;Dark Soy Sauce;Toasted Sesame Oil;Vegetable Oil;Raw Peanuts
Manchurian Chicken Salad (Jīsī Lāpī),Salads;Dressings & Marinades;Appetizers / Starters;Chinese,Mung Bean Sheets;Toasted Sesame Oil;Cooked Chicken Meat;Persian Cucumbers;Fresh Ginger;Green Onions;Toasted Sesame Seeds;Chinese Black Vinegar;Soy Sauce;Mustard
Consort'S Chicken Wings (Guīfēi Jīchì),Sauces For Poultry;Appetizers / Starters;Chinese,Chicken Wings;Soy Sauce;Peanut Oil;Leeks;Fresh Ginger;Shaoxing Rice Wine;Rock Sugar
Cold Garlic Chicken (Shāndōng Shāojī),Appetizers / Starters;Chinese,Chicken Thighs;Soy Sauce;Sichuan Peppercorns;Fresh Ginger;Green Onions;Persian Cucumbers;Chinese Black Vinegar;Garlic;Toasted Sesame Oil
"Braised Beef Shank, Tendons, And Variety Meats (Lu Níujiàn, Níujīn, Níuzá)",Stews & One-Pot Meals;Appetizers / Starters;Chinese,Beef Shanks;Beef Tendons;Honeycomb Tripe;Fresh Ginger;Green Onions;Soy Sauce;Whole Star Anise;Cinnamon Sticks;Fennel Seeds;Sichuan Peppercorns;Rock Sugar;Dried Thai Chiles
Mock Shark Fin Soup (Huángmèn Sùyúchi),Soups;Chinese,Dried Scallops;Chinese Ham;Chicken Backs;Whole Duck;Fresh Ginger;Green Onions;Chicken Breasts;Shaoxing Rice Wine;Frozen Vegetarian Shark Fin
Clear Beef Soup With Chinese Herbs And Radishes (Qīngdùn Níuròu Luóbo Tāng),Soups;Chinese,Beef Shanks;Beef Tendons;Honeycomb Tripe;Leeks;Fresh Ginger;Rice Wine;Bay Leaves;Dried Licorice Root;Whole Star Anise;Cinnamon Sticks;Sichuan Peppercorns;Black Peppercorns;Chinese Radishes
Russian Soup (Luósòng Tāng),Soups;Chinese;Russian,Peanut Oil;Fresh Ginger;Oxtail;Onions;Garlic;Bay Leaves;Rice Wine;Soy Sauce;Tomato Ketchup;Potatoes;Carrots;Canned Tomatoes
Lamb Hotpot (Shuàn Yángròu),Stews & One-Pot Meals;Appetizers / Starters;Chinese,Lamb;Pickled Cabbage;Spinach;Bean Curd;Cellophane Noodles;Fermented Bean Curd;Fish Sauce;Toasted Sesame Seeds;Toasted Sesame Oil;Chile Oil;Soy Sauce;Chinese Black Vinegar;Green Onions;Cilantro;Vegetable Oil;Raw Peanuts;Rice Wine;Chicken Stock
Sweet And Sour Carp (Tángcù Liyú),Main Course;Chinese,Carp;Peanut Oil;Green Onions;Fresh Ginger;Chinese Black Vinegar;Rock Sugar;Soy Sauce
Abalone Shreds With Mung Bean Sprouts (Bàosī Yínyá),Main Course;Chinese,Abalone;Mung Bean Sprouts;Chicken Stock;Shaoxing Rice Wine;Peanut Oil;Green Onions;Fresh Ginger
Braised Prawns (Gānshāo Dàmíngxiā),Stews & One-Pot Meals;Main Course;Chinese,Shrimp;Fresh Ginger;Shaoxing Rice Wine;Peanut Oil;Green Onions;Fermented Rice;Tomato Ketchup
Beijing Style Smoked Chicken (Jīngshì Xūnjī),Main Course;Chinese,Whole Chicken;Shaoxing Rice Wine;Sichuan Peppercorns;Rice;Tea;Aromatics Of Your Choice
Jade And Pearls (Līu Jīpú),Main Course;Chinese,Chicken Stock;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Baby Peas;Chicken Breasts;Egg Whites;Chicken Fat
Ginseng Steamed Chicken (Qingzhēng Rénshēn Jī),Main Course;Chinese,Ginseng Root;Dried Bamboo Shoots;Chinese Dried Black Mushrooms;Whole Chicken;Rice Wine;Green Onions;Fresh Ginger;Chinese Winter-Cured Pork
Yellow Braised Duck (Huángmèn Yākuài),Stews & One-Pot Meals;Main Course;Chinese,Duck Legs;Green Onions;Fresh Ginger;Sichuan Peppercorns;Shaoxing Rice Wine;Snow Peas;Carrots;Winter Bamboo Shoots;Wood Ear Fungus;Peanut Oil;Soy Sauce;Rock Sugar
Rock Sugar Pork Shank (Bīngtáng Zhouzi),Main Course;Chinese,Pork Shanks;Honey;Peanut Oil;Fennel Seeds;Cinnamon Sticks;Sichuan Peppercorns;Fresh Ginger;Green Onions;Soy Sauce;Shaoxing Rice Wine;Rock Sugar
Golden Pouches (Hébāo Lijí),Main Course;Chinese,Pork Shoulder;Green Onions;Fresh Ginger;Sweet Bean Paste;Soy Sauce;Shaoxing Rice Wine;Peanut Oil;Cilantro;Toasted Sesame Oil
Tasimi (Tāsìmi),Stir-Fries;Main Course;Chinese,Lamb Loin;Ginger Juice;Soy Sauce;Shaoxing Rice Wine;Chinese Black Vinegar;Toasted Sesame Oil;Sweet Bean Paste
Napa Cabbage With Dried Shrimp (Kāiyáng Báicài),Stir-Fries;Side Dish;Chinese,Dried Shrimp;Napa Cabbage;Peanut Oil;Green Onions;Fresh Ginger;Soy Sauce;Rice Vinegar
Stir Fried Garlic Stems (Qīngchao Sùantái),Stir-Fries;Side Dish;Chinese;Vegan;Vegetarian,Garlic Stems;Peanut Oil;Shaoxing Rice Wine
Three Fruits Of The Earth (Disānxiān),Stir-Fries;Side Dish;Chinese;Vegan;Vegetarian,Chinese Eggplants;Potatoes;Peanut Oil;Red Peppers;Garlic;Fresh Ginger;Green Onions
Stir Fried Potato And Green Chili Threads (Qingjiāo Chao Tudòusi),Stir-Fries;Side Dish;Chinese;Vegan;Vegetarian,Potatoes;Peanut Oil;Fresh Ginger;Green Onions;Jalapeño Chiles
Wood Ears Braised With Green Onions (Cōngshāo Qīumùer),Side Dish;Chinese,Leeks;Wood Ear Fungus;Peanut Oil;Rice Wine;Oyster Sauce;Soy Sauce
Panfried Bean Curd (Guōtā Dòufu),Stir-Fries;Side Dish;Chinese,Bean Curd;Peanut Oil;Egg Yolks;Dried Shrimp Roe;Green Onions;Fresh Ginger;Shaoxing Rice Wine;Romaine Lettuce
Zhajiang Noodles (Zhájiàng Miàn),Stir-Fries;Main Course;Chinese,Wheat Noodles;Eggplants;Peanut Oil;Ground Pork;Yellow Onions;Fresh Ginger;Rice Wine;Toasted Sesame Oil;Sweet Bean Paste;Soy Sauce;Persian Cucumbers
Dalu Noodle Soup (Dalu Miàn),Soups;Chinese,Wood Ear Fungus;Carrots;Winter Bamboo Shoots;Green Onions;Dried Chinese Black Mushrooms;Napa Cabbage;Peanut Oil;Pork;Pork Stock;Soy Sauce;Chinese Black Vinegar;Wheat Noodles
"Steamed And Boiled Jiaozi (Zhēngjiao, Shuijiao)",Snacks;Chinese,All-Purpose Flour;Pastry Flour;Filling Of Your Choice
Shrimp And Pork Jiaozi Filling (Xiānxiā Zhūròu Xiàn),Chinese,Shrimp;Ground Pork;Fresh Ginger;Soy Sauce;Rice Wine;Napa Cabbage;Green Onions
Gourd And Egg Jiaozi Filling (Mùxi Hùguā Xiàn),Egg Dishes;Chinese;Vegetarian,Bottle Gourds;Peanut Oil;Eggs;Fresh Ginger;Soy Sauce;Rice Wine;Toasted Sesame Oil;Chinese Dried Black Mushrooms
Ignored By The Dog Filled Buns (Goubùli Bāozi),Snacks;Chinese,Ground Pork;Pork Fat;Soy Sauce;Toasted Sesame Oil;Green Onions;Fresh Ginger;All-Purpose Flour;Pastry Flour
Potstickers (Guōtiē),Appetizers / Starters;Chinese,All-Purpose Flour;Pastry Flour;Ground Pork;Mushroom Powder;Soy Sauce;Shaoxing Rice Wine;Cilantro;Green Onions;Fresh Ginger;Peanut Oil
Chinese Hamburgers (Xiàngbing),Sandwiches & Burgers;Snacks;Main Course;Chinese,Ground Beef Chuck;Soy Sauce;Fresh Ginger;Rice Wine;Peanut Oil;Garlic Chives;All-Purpose Flour;Pastry Flour
"Fried Scallion And Flaky Flatbreads (Cōngyōubing, Zhuābing)",Fried Doughs;Snacks;Appetizers / Starters;Chinese,All-Purpose Flour;Pastry Flour;Peanut Oil;Lard;Green Onions
Shaobing,"Pies, Tarts & Pastries;Breakfast / Brunch;Chinese;Vegan;Vegetarian",Active Dry Yeast;All-Purpose Flour;Pastry Flour;Oil;Toasted Sesame Oil
Corn Thimbles (Wōwotóu 'Er),"Bread & Rolls, Savory;Chinese;Vegan",Cornmeal;Store-Cupboard Ingredients
Millet Porridge (Xiaomi Zhōu),Breakfast / Brunch;Snacks;Cooking For 1 Or 2;Chinese;Vegan;Vegetarian,Millet
Rolling Donkeys (Lu Dagun),Candy / Sweets;Chinese;Vegan,Sticky Rice Flour;Sweet Red Bean Paste;Toasted Sesame Oil;Peanuts
Laughing Dougnut Holes (Kāikouxiào),Fried Doughs;Dessert;Snacks;Chinese,All-Purpose Flour;Pastry Flour;Sesame Seeds;Peanut Oil
Toffee Apples (Bási Píngguo),Fried Doughs;Dessert;Chinese,Apples;Pastry Flour;Peanut Oil;Turbinado Sugar;Lemons;Toasted Sesame Seeds
Soymilk (Dòujiāng),Beverages / Drinks (No-Alcohol);Cooking Ahead;Chinese,Soybeans
Chilled Sour Plum Infusion (Guìhuā Suānméi Tāng),Beverages / Drinks (No-Alcohol);Chinese,Dried Sour Plums;Dried Licorice Root;Dried Jamaica Flowers;Rock Sugar;Osmanthus Syrup;Dried Chinese Hawthorn Berries
Raw Radish Threads With Green Onion Oil (Cōngyóu Báiluóbōsi),Appetizers / Starters;Chinese;Vegan;Vegetarian,Chinese Radishes;Green Onions;Peanut Oil
Vegetarian Dongpo Pork (Sù Dōngpō),Stir-Fries;Appetizers / Starters;Chinese,Winter Melon Gourds;Peanut Oil;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Soy Sauce;Rock Sugar;Whole Star Anise;Cinnamon Sticks
Sprouted Fava Beans (Cōngkào Fāyádòu),Appetizers / Starters;Chinese,Dried Fava Beans;Green Onions;Peanut Oil;Fresh Ginger;Shaoxing Rice Wine;Fish Sauce
Bean Curd With Pine Flower Preserved Eggs (Sōnghuà Pídàn Dòufu),Egg Dishes;Appetizers / Starters;Chinese;Vegetarian,Preserved Eggs;Bean Curd;Sichuan Pickled Mustard Root;Green Onions;Cilantro;Rice Vinegar;Chinese Black Vinegar;Toasted Sesame Oil
Vegetarian Goose (Wubao Sù'É),Appetizers / Starters;Chinese;Vegan;Vegetarian,Black Mushrooms;Yuba Sheets;Dried Daylily Flowers;Winter Bamboo Shoots;Carrots;Peanut Oil;Sichuan Pickled Mustard Root;Soy Sauce;Toasted Sesame Oil
Drunken Eggs With Molten Centers (Tángxin Huādiāo Zuìdàn),Egg Dishes;Appetizers / Starters;Chinese;Vegetarian,Eggs;Salted Plums;Fresh Ginger;White Peppercorns;Lemons;Shaoxing Rice Wine
"Suzhou ""Smoked"" Fish (Sūshì Xūnyú)",Appetizers / Starters;Chinese,Whole Fish;Green Onions;Fresh Ginger;Whole Star Anise;Soy Sauce;Shaoxing Rice Wine;Peanut Oil;Five-Spice Powder;Toasted Sesame Oil
Cold Braised Little Fish With Green Onions (Cōngkào Xiaoyú),Appetizers / Starters;Chinese,Croaker;Shaoxing Rice Wine;Soy Sauce;Chinese Black Vinegar;Peanut Oil;Green Onions;Rock Sugar;Toasted Sesame Oil
Soy Braised Fish Collar (Gānshāo Yúxàba),Stews & One-Pot Meals;Appetizers / Starters;Chinese,Fish Collars;Peanut Oil;Fresh Ginger;Green Onions;Soy Sauce;Rock Sugar;Shaoxing Rice Wine
Drunken Chicken (Zuìji),Appetizers / Starters;Chinese,Chicken Breasts;Shaoxing Rice Wine;Chicken Stock;Fresh Ginger;Rock Sugar;Wolfberries
Crystalline Jellied Pork (Shuijink Yáoròu),Appetizers / Starters;Chinese,Pork Legs;Shaoxing Rice Wine;Pink Salt;Whole Star Anise;Sichuan Peppercorns;Fresh Ginger;Green Onions;Powdered Gelatin;Powdered Alum;Chinese Black Vinegar
Lotus Root And Pork Rib Soup (Lián Ou Páigu Tāng),Soups;Chinese,Pork Ribs;Peanut Oil;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Lotus Root;Cilantro
Sister In Law Song'S Fish Chowder (Sòngsao Yúgēng),Soups;Chinese;American,Firm White Fish Fillets;Fresh Ginger;Black Mushrooms;Chinese Ham;Winter Bamboo Shoots;Peanut Oil;Chicken Stock;Egg Whites;Chinese Black Vinegar
Fish Head Sandpot (Shāguō Yútóu),Soups;Chinese,Carp Heads;Soy Sauce;Shaoxing Rice Wine;Peanut Oil;Fresh Ginger;Green Onions;Pork Belly;Winter Bamboo Shoots;Dried Chinese Black Mushrooms;Thai Chiles;Chicken Stock;Rock Sugar
Yangzhou Style Lion Heads (Yángzhōu Qīngtāng Shizitóu),Soups;Chinese,Ground Pork;Pork Fat;Shrimp;Water Chestnuts;Green Onions;Fresh Ginger;Shaoxing Rice Wine;Mushroom Powder;Old-Fashioned Oats;Chicken Stock
Braised Vegetarian Finches (Shāo Sùhuángquè),Stews & One-Pot Meals;Main Course;Chinese;Vegan;Vegetarian,Dried Chinese Black Mushrooms;Baby Bok Choy;Carrots;Peanut Oil;Firm Bean Curd;Soybeans;Green Onions;Light Soy Sauce;Toasted Sesame Oil;Bean Curd Skin;Mushroom Stock;Shaoxing Rice Wine;Fresh Ginger
Steamed Fish Jiangsu Style (Qingzhēng Xiānyú),Main Course;Chinese,Whole Fish;Black Mushrooms;Bamboo Shoots;Chinese Ham;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Peanut Oil
West Lake Piquant Fish (Xihú Cùyú),Main Course;Chinese,Whole Fish;Fresh Ginger;Chicken Stock;Green Onions;Peanut Oil;Chinese Black Vinegar;Rock Sugar;Shaoxing Rice Wine;Chinese Egg Noodles
Fried Fish In A Sea Moss Batter (Táitiáo Sūyū),Main Course;Chinese,Whole Fish;Green Onions;Shaoxing Rice Wine;Lemons;Fresh Ginger;Sea Moss;Peanut Oil;Pastry Flour
Stir Fried Shrimp With Longjing Tea (Lóngjing Xiārén),Stir-Fries;Main Course;Chinese,Long Jing Tea;Shrimp;Egg Whites;Peanut Oil;Shaoxing Rice Wine
Crunchy Salt And Pepper Shrimp (Jiāoyán) Sūxiā),Stir-Fries;Main Course;Chinese,Shrimp;Shaoxing Rice Wine;Rice Bran Oil;Sea Salt;Black Peppercorns;Green Onions
Bombs Over Tokyo (Hōngzhà Dōngjīng),Stir-Fries;Main Course;Chinese,Short-Grain Rice;Shrimp;Egg Whites;Chicken Breasts;Chicken Stock;Shaoxing Rice Wine;Tomato Ketchup;Toasted Sesame Oil;Rice Vinegar;Black Mushrooms;Peanut Oil;Baby Peas
Freshwater Eels With Yellow Chives (Jiuhuáng Chao Shànhú),Stir-Fries;Main Course;Chinese,Eels;Yellow Chives;Peanut Oil;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Light Soy Sauce
Daokou Poached Chicken (Dàokou Shāojī),Main Course;Chinese,Chicken Stock;Shaoxing Rice Wine;Fish Sauce;Light Soy Sauce;Rock Sugar;Dried Tangerine Peel;Sand Ginger;Black Peppercorns;Sichuan Peppercorns;Fennel Seeds;Whole Star Anise;Cinnamon Sticks;Whole Cloves;Black Cardamom Pods;Whole Chicken;Maltose;Toasted Sesame Oil
Wuwei Smoked Duck (Wúwéi Xūnyā),Main Course;Chinese,Whole Duck;Sea Salt;Pink Salt;Applewood Chips;Fennel Seeds;Whole Star Anise;Cinnamon Sticks;Sichuan Peppercorns;Soy Sauce;Chinese Black Vinegar;Rock Sugar;Green Onions;Fresh Ginger
Nanjing Saltwater Duck (Nánjing Yánshui Yā),Main Course;Chinese,Duck Legs;Sea Salt;Five-Spice Powder;Sichuan Peppercorns;Green Onions;Whole Star Anise;Fresh Ginger
Dongpo Pork (Dōngpō) Ròu),Main Course;Chinese,Pork Belly;Rock Sugar;Peanut Oil;Shaoxing Rice Wine;Green Onions;Fresh Ginger;Whole Star Anise;Cinnamon Sticks;Soy Sauce
Pearl Meatballs (Zhēnzhūwán),Main Course;Chinese,Long-Grain Sticky Rice;Fatback;Water Chestnuts;Ground Pork;Flatfish;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Chile Paste;Soy Sauce
Shaoxing Style Pork Belly (Méicài Kòròu),Main Course;Chinese,Pork Belly;Dark Soy Sauce;Shaoxing Rice Wine;Preserved Mustard Greens;Fresh Ginger;Green Onions;Rock Sugar;White Liquor
Wuxi Spareribs (Wúxí Páigu),Main Course;Chinese,Pork Spareribs;Soy Sauce;Peanut Oil;Green Onions;Fresh Ginger;Shaoxing Rice Wine;Whole Star Anise;Cinnamon Sticks;Rock Sugar;Dark Soy Sauce;Toasted Sesame Oil
Braised Tendons With Dried Shrimp Roe (Xiāzi Níujīn),Stews & One-Pot Meals;Main Course;Chinese,Beef Tendons;Peanut Oil;Dried Shrimp Roe;Fresh Ginger;Green Onions;Shaoxing Rice Wine;Soy Sauce;Fish Sauce;Toasted Sesame Oil
Huaidian Smoked Lamb (Huáidiàn Xūn Yángròu),Main Course;Chinese,Lamb Riblets;Black Peppercorns;Whole Cloves;Sichuan Peppercorns;Fennel Seeds;Black Cardamom Pods;Wood Chips;Toasted Sesame Oil
Oil Braised Spring Bamboo Shoots (Yóumèn Chūnsun),Stews & One-Pot Meals;Side Dish;Spring;Chinese;Vegan;Vegetarian,Frozen Spring Bamboo Shoots;Green Onions;Peanut Oil;Toasted Sesame Oil;Shaoxing Rice Wine;Soy Sauce
Bitter Melons In Golden Sand (Jinshā Kuguā),Side Dish;Chinese;Vegetarian,Bitter Melons;Sea Salt;Eggs;Fresh Ginger;Whole Star Anise;Sichuan Peppercorns;Dried Thai Chiles;Shaoxing Rice Wine;Green Onions;Peanut Oil
Four Happiness Gluten And Vegetables (Sixi Kaofū),Side Dish;Chinese;Vegan;Vegetarian,Wheat Gluten;Peanut Oil;Wood Ear Fungus;Winter Bamboo Shoots;Dried Daylily Flowers;Soybeans;Green Onions;Fresh Ginger;Whole Star Anise;Dark Soy Sauce;Shaoxing Rice Wine;Rock Sugar
Slow Braised Bok Choy (Kàocài),Side Dish;Chinese,Bok Choy;Green Onions;Soy Sauce
"Molded Ham, Chicken, And Bean Curd Shreds (Ji Huō Zhu Gānsi)",Side Dish;Chinese,Chicken Breasts;Fresh Ginger;Green Onions;Black Mushrooms;Chinese Ham;Chicken Stock;Shaoxing Rice Wine;Bean Curd
Lively Bean Curd (Huo Dòufu),Side Dish;Chinese,Dried Daylily Flowers;Wood Ear Fungus;Pork;Soy Sauce;Shaoxing Rice Wine;Green Onions;Soft Bean Curd;Peanut Oil;Stock;Toasted Sesame Oil
Chestnut Bean Curd (Li Dòufu),Side Dish;Chinese,Chicken Stock;Pork Belly;Chinese Ham;Fresh Ginger;Soft Bean Curd;Winter Bamboo Shoots;Chestnuts;Soy Sauce;Shaoxing Rice Wine
Fried Lotus Chips (Zhá Oupiàn),Side Dish;Chinese;Vegan;Vegetarian,Lotus Root;Peanut Oil
Crab Shell Pastries (Xiékéhuáng),"Pies, Tarts & Pastries;Snacks;Chinese",Ground Pork;Green Onions;Toasted Sesame Seeds;All-Purpose Flour;Pastry Flour
Crusty Vegetable Rice (Càifàn),Rice Dishes;Main Course;Cooking For 1 Or 2;Chinese,Bok Choy;Green Onions;Chinese Ham;Cooked Rice
Xiaolongbao,"Pies, Tarts & Pastries;Main Course;Appetizers / Starters;Snacks;Chinese",Chicken Stock;Pork Skin;Fresh Ginger;Green Onions;Ground Pork;Pork Fat;Soy Sauce;Shaoxing Rice Wine;Chinese Black Vinegar;Toasted Sesame Oil;All-Purpose Flour
Fried Green Onion Noodles (Congyóu Bànmiàn),Stir-Fries;Main Course;Chinese,Green Onions;Peanut Oil;Light Soy Sauce;Thin Noodles
Hangzhou Style Noodle Soup (Pià 'R Chuān),Soups;Chinese,All-Purpose Flour;Pastry Flour;Toasted Sesame Oil;Pork;Shaoxing Rice Wine;Winter Bamboo Shoots;Mustard Greens;Sea Salt;Pork Stock;Peanut Oil;Soy Sauce;Bamboo Pith Fungus
"Rice Cakes With Salted Shanghainese Greens, Bamboo Shoots, And Green Soybeans (Xuelihóng Sunsī Máodòu Chao Nián'Gāo)",Stir-Fries;Main Course;Chinese;Vegan;Vegetarian,Peanut Oil;Green Onions;Winter Bamboo Shoots;Soybeans;Sea Salt;Mustard Greens;Rice Cakes;Shaoxing Rice Wine
Rice Cakes With Pork And Vegetables (Shànghai Chao Nián'Gāo),Stir-Fries;Main Course;Chinese,Pork;Soy Sauce;Shaoxing Rice Wine;Black Mushrooms;Winter Bamboo Shoots;Napa Cabbage;Chinese Ham;Green Onions;Peanut Oil;Fresh Ginger;Rice Cakes;Chicken Stock;Toasted Sesame Oil
Gold And Silver Fried Rice (Jinyín Zicài Yāogou Chaofun),Stir-Fries;Rice Dishes;Main Course;Cooking For 1 Or 2;Chinese;Vegetarian,Cooked Rice;Raw Cashew Nuts;Peanut Oil;Laver Seaweed;Toasted Sesame Oil
Too Soft A Heart (Xīn Tào Ruan),Dessert;Chinese;Vegan,Chinese Red Dates;Wheat Starch;Sticky Rice Flour;Rock Sugar;Osmanthus Syrup;Peanut Oil
Lotus Leaf Eight Treasure Rice (Héyè Bābaofàn),Rice Dishes;Dessert;Chinese,Sticky Rice;Osmanthus Syrup;Pineapple;Unsweetened Coconut;Dried Lotus Leaves;Lotus Seeds;Raisins;Wolfberries;Chinese Red Dates;Dried Longan Fruits;Toasted Sesame Seeds;Nuts Of Your Choice;Water Chestnuts;Dried Fruits Of Your Choice
Rice Pearl And Tangerine Petal Sweet Soup (Júgēng Tāngyuán),Soups;Dessert;Chinese;Vegan,Sticky Rice Flour;Canned Mandarin Oranges;Rock Sugar
Sea Moss Sandies (Táitáo Sū),"Cookies, Biscuits & Crackers;Afternoon Tea;Chinese",Sea Moss;All-Purpose Flour;Pastry Flour;Butter
Crystal Lychees (Shuijing Lizhī),Candy / Sweets;Chinese,Lychees;Powdered Gelatin;Lemons
Candied Kumquats (Jinjú Táng),Candy / Sweets;Chinese;Vegan,Kumquats;Sugar
Sweet Stuffed Lotus Roots (Jiāngmi Lián Ou),Rice Dishes;Dessert;Chinese;Vegan,Lotus Root;Sticky Rice;Rock Sugar;Osmanthus Syrup
The Perfect Pot Of Chinese Tea (Rúhé Qīhao Zhongguo Chá),Beverages / Drinks (No-Alcohol);Chinese,Tea
Chrysanthemum Tea (Hángzhōu Júhuāchá),Beverages / Drinks (No-Alcohol);Chinese,Dried Chrysanthemum Flowers
Red Date Nectar (Hóngzao Lù),Beverages / Drinks (No-Alcohol);Chinese,Chinese Red Dates
Cold Bamboo Shoots With Mayonnaise (Liángbàn Zhúsun),Appetizers / Starters;Chinese;Vegetarian,Winter Bamboo Shoots;Kewpie Mayonnaise
Lemon Cashews (Níngméng Yāoguo),Appetizers / Starters;Chinese;Vegan;Vegetarian,Lemons;Dried Chinese Hawthorn Berries;Raw Cashew Nuts;Peanut Oil
Shunde Raw Fish (Shùndé Yúshēng),Appetizers / Starters;Chinese,Fresh Ginger;Rice Vinegar;Peanut Oil;Cellophane Noodles;Taro Root;Sushi Grade Fluke;Peanuts;Toasted Sesame Seeds;Laver Seaweed;Red Jalapeño Chiles;Cilantro;Green Onions;Romaine Lettuce;Sichuan Pickled Mustard Root;Seasoned Rice Vinegar;Toasted Sesame Oil;Garlic;Soy Sauce
